profile name	profile description
Business Yachtclub Barcelona	"Bienvenidos a Business Yachtclub Barcelona, el primer club de vela con veleros J80 y J105 para navegar en Barcelona.

Hazte socio de nuestro club y podrás practicar la vela todo el año. 

Alquiler de veleros con o sin patrón, regatas, match race, actividades dirigidas, ofertas y promociones exclusivas a lo largo del año.


En Business Yachtclub Barcelona encontrarás soluciones para aprender a navegar y para disfrutar Barcelona desde el mar si estás de visita.

Para las empresas ofertas de eventos corporativos personalizados por cada exigencias.


Business Yachtclub Barcelona, el mundo de la vela está a tu alcance, que esperas para entrar ?"
C. A. CARMONA PAEZ	Triatlón en San Fernando.
C. D. Gimnas Kyu	"dojo dedicado a la enseñanza de las artes marciales, mas concretamente aikido y karate de forma tradicional."
C.B.D Cinco Puntos	"Hace 10 años se creó la Asociación de Baile de Salón Cinco Puntos, que hoy en día ya es Club de Baile Deportivo, Federado.
Impartimos clases en Zaragoza y alrededores, en varios municipios y centros cívicos de la provincia de Zaragoza. También damos clase y animaciones en pubs y bares.
Nuestros alumnos, entre los 8 y 75 años, aprenden a bailar todos los ritmos del baile de salón y bailes caribeños (salsa, bachata y  merengue).
Para conocernos más visítanos en www.facebook.com/abscincopuntos"
C.D. Atletismo Diego Ruiz	"Atletismo,Correr,Jogging,Running en Burgos."
C.D. Runnersworld Valencia	"Entrenamos todos los martes y jueves en el Viejo Cauce del Rio Turia, y quedamos de 19:25 a 19:45 en el Puente de Campanar a la derecha mirando al mar. Haga frio, calor, vientos huracanados, nieve, pedregue o tengamos lluvia extrema, se entrena.
 Y no hay excusas de ""Estoy lesionado. Me duele la cabeza. Estoy constipado. Voy cojo, si no te lo crees llevo muletas...""."
C.D. San Ignacio	Voleibol en Oviedo.
C.D.E. de Tenis El Carraperal Griñón	"Tenis,Tenis en Griñón."
C.D.E.RIVAS95	"El “CLUB DEPORTIVO RIVAS 95 FUTBOL SALA” se funda en el año 2008 en el municipio de Rivas-Vaciamadrid, por un grupo de amigos y padres, interesados en el fomento del deporte y de sus valores.

El club se inscribe en la Dirección General de Deportes de la Comunidad de Madrid, con fecha de 19 de noviembre de 2008.

Comenzamos nuestra actividad en competiciones federadas en la temporada 2009/2010 en las categorías de Alevín, Cadete, Juvenil Femenino y Juvenil Masculino de 2ª y Senior primera preferente. Con suerte diversa en cuanto a resultados.
 
La temporada 2010/2011, intentamos dar un salto de calidad, teniendo en cuenta que lo más importante es la consolidación económica y deportiva del club, si queremos llegar lejos, hay que ir despacio. En ésta línea, los equipos que formaremos serán: Alevín, Infantil, Cadete, Juvenil Femenino, Juvenil Masculino, Juvenil Nacional y un Nacional B que será la referencia y primer equipo del club esta temporada.
 
Esto ha sido posible gracias al trabajo realizado con otros clubes para llegar a acuerdos y poder contar con plazas y jugadores, a los que estamos agradecidos por su colaboración y apoyo a éste proyecto. Realmente contamos con dos equipos más, pero lo importante es la reorganización de nuestra estructura gracias a la experiencia adquirida en la temporada que ha finalizado.
 
La temporata 2011/2012, viene caracterizada por el acuerdo de filialidad con CARNICER TORREJÓN, lo que nos permite mirar a lo más arriba. Esta no fué una decisión fácil, a priori parecía que renunciabamos a parte de nuestra identidad, a nuestros comienzos, sin embargo, queremos y debemos ser un club que forje jugadores y que les dote de oportunidades, y ello pasaba por la filialidad, con lo bueno y con lo malo. En todo caso, a final de temporada, cuando sea la hora de hacer balance sabremos si la decisión que tomamos fue lo mejor para nuestros chicos y para el club. Ahora, lo que toca es trabajar y porner toda nuestra fuerza e interés en que el proyecto salga adelante.
 
Hemos potenciado la plantilla de nuestro Nacional, ahora 3ª División con lo mejor que hemos podido, hemos aportado jugadores al Juvenil Nacional de Carnicer, hemos formado dos juveniles de primer año, con el fin de que se esfuercen y luchen por mejorar y por ascender, para que en un futuro próximo la dirección deportiva de Carnicer se fije en ellos y sean parte importante de su proyecto. También hemos arrancado con un Senior Femenino, con nuestras jugadoras del juvenil y con seniors para también poder ascender y hacer un equipo que tenga proyección deportiva.
 
En definitiva, nuestro proyecto para la temporada 2011/2012 es una apuesta por la cantera, con entrenadores con compromiso y calidad, con la puesta en marcha de las Escuelas y con la intención de ser un club de futuro.
 
La sede del club está situada en el municipio de Rivas Vaciamadrid, siendo los miembros de sus equipos de dicha localidad y que cuenta ya, con una amplia tradición deportiva.

En la constitución del club deportivo ha primado el comportamiento y la educación a los resultados deportivos desde su creación, así como la educación complementaría a los niños en un marco deportivo, como así se refleja en el acta constitutiva del mismo. Seguiremos por este mismo camino y para la próxima temporada tendremos más equipos y más novedades."
C.D.Electrónica - Rato Avilés ATMO.	"Atletismo,Correr,Jogging,Running en Avilés."
C.M. Hidden Valley Cerler	"Esquí,Snowboard,Skate en Cerler."
C.M. Stadium Casablanca	"Baloncesto,Fútbol,Natación,Padel,Tenis en Zaragoza."
C.N.TERRASSA DEFENSA PERSONAL	"Talleres y Cursos de Defensa Personal General y Específica para mujeres.
  "
C.T.T. Santa Eulària	"Actividades:
ESCUELA  MUNICIPAL
Entrenamientos de Lunes a Viernes de 16:30 a 17:30, dirigidos por el Entrenador Rafa Ramírez.
Con posibilidad de competir en la Liga Escolar de Ibiza y Formentera.
Los entrenamientos se realizan en la Nueva  Sala de Tenis de Mesa. Entre el Pabellón Municipal y la Piscina.
Cuota Municipal Anual de 69€ (dos días semanales) , inscripciones en la Piscina Municipal de Santa Eulària.

ESCUELA DE ADULTOS (A partir de 16 años)
Martes y Jueves de 19:30 a 21:30 h.
Cuota Trimestral de 50€
Licencia Federada (opcional) 50€

ESCUELA DE PERFECCIONAMIENTO TÉCNICO
Los chicos y chicas que ya se han iniciado en el Tenis de Mesa y buscan una mejora en la cantidad y calidad de entrenamiento pueden iniciarse como jugadores del CTT Santa Eulària en este grupo de entrenamiento, entre las 17:30 y 19:30. Con posibilidad de empezar a competir en ligas autonómicas y Competiciones Nacionales y Autonómicas.
Para más información habla con tu entrenador.

ENTRENAMIENTOS DE LOS EQUIPOS
Para los jugadores y jugadoras integrados en el Club, que compiten en alguna de las diferentes ligas en las que competimos.
Los horarios de entreno varian de la edad y el nivel de los jugadores.
Ponte en contacto con el Director Técnico Rafa Ramírez.
Valido también para adultos que quieran iniciarse en este deporte."
Campo de fútbol 7 de Ciudad de Asís	Fútbol en Alacant.
Campo de Fútbol de la Ciudad Deportiva	"Fútbol,Fútbol en Alacant."
Campo de Fútbol del Garbinet	"Fútbol,Fútbol en Alacant."
Campo de Fútbol Florida Babel	"Fútbol,Fútbol en Alacant."
Campo de Fútbol la Albufereta	"Fútbol,Fútbol en Alacant."
Campo de Fútbol Virgen del Remedio	"Fútbol,Fútbol en Alacant."
Campo de Golf Melilla	Otro en Melilla.
Campos Federativos de Fútbol	"Fútbol,Fútbol en Castellón de la Plana."
Can Shiva Yoga Ibiza	"Welcome to Can Shiva, Center for Yoga and Ayurveda in San Antonio, Ibiza.

You will find various yoga classes for beginners, intermediate students as well as for those with a more advanced practice in our programme. There is also a wide range of classes on special topics, such as yoga for the back, yoga for children, yoga for eldery persons and meditation.

You can come for a trial class any time, just make sure you bring comfortable clothing!

Relaxing massages and treatment with choice ayurvedic oils await you in our ayurveda section .

Please send us an email or call if you have any queries. info@canshiva.com 

 
Hatha Yoga
kundalini yoga
yoga para embarazadas
gymnasia terapéutica (similar to Pilates)
danza oriental

"
Capoeira Abada Gran Canaria	"Abada Capoeira Gran Canaria
Graduado Surfista
"
Capoeira Ginga Brasil Madrid - CDO	La Asociación de Capoeira Ginga Brasil - Cordao de Ouro en Madrid tiene como objetivo la divulgación de la capoeira y la cultura afrobrasileña en España.
Capoeira Madrid - Centro	"Apúntate a una clase de prueba y 
infórmate sobre las condiciones y posibilidades de clase.
Hay otros horarios disponibles para empezar.

Saludos,

Caíto ""Energético""

        www.EnergéticoCapoeira.com"
Capoeira Muzenza	"El profesor Neutarcio descubrió la capoeira a los 10 años con el profesor Edmilson en la cuidad de Crato (Ceará, Brasil).

A partir de 1994, con 18 años de edad, empezó a transmitir el arte de la capoeira en escuelas de Crato y ciudades vecinas (Nova Olinda, Jardim).

Además, se implicó en varios proyectos sociales de centros cívicos y ayuntamientos de la región, fomentando la educación de los niños y adolescentes.

En 2007, llegó a España para crear la Academia Muzenza de Barcelona y así difundir sus conocimientos y la filosofía del grupo."
Caralebro Ayurveda	"Atalaya Casa rural en Sobradiel, Sesiones de Introdución al AYURVEDA, RUTAS NORDIC WALKING ANTIESTRES, MASAJE ABHYANGA, ALOJAMIENTO Y ACTIVIDADES EN LA NATURALEZA."
CB Art-Chivo	"Baloncesto,Baloncesto en Oviedo."
CB Bahía San Agustín	Baloncesto en Llucmajor.
CB L'Alfas del Pi	Baloncesto en l'Alfàs del Pi.
CB Pumarín	"Baloncesto,Baloncesto en Gijón."
CD Basket Campoo	"Baloncesto,Baloncesto en Reinosa."
"CD Cicloturista ""La Vereita"""	"Somos un grupo de amigos unidos por la afición a la Bicicleta de Montaña en los Espacios Naturales de Andalucía, donde practicamos otros deportes como el senderísmo, atletismo, orientación, esquí, natación..."
CDE. EADS CE GRUPO DE MONTAÑA	"Es un gran grupo de amigos al que nos une el placer de disfrutar de la montaña en todas sus vertientes, realizamos una marcha de carácter social todos los meses donde os invitamos a participar, todo ello lo podéis ver en nuestro blog"
CE ARENYS DE MUNT	"Som el Club Esportiu Arenys de Munt, de la població del Maresme, Arenys de Munt.
"
CE de lluita suau i amable	"Enseñanza y práctica del Tai Chi Chuan de la escuela Yang, para cuidar la salud, como una gimnasia suave y como un sistema de meditación, mediante secuencias de Tai Chi, ejercicios complementarios de chikung y meditaciones de pie. También se desarrolla el aspecto de arte marcial interno a través de ejercicios como los Tui Shous, Da Lu, las aplicaciones de las formas de mano vacía y de armas (espada, sable, vara, lanza, bastón, flauta y abanico)

Miembros de la Plum Blossom International Federation

Una opción de salud siguiendo el Camino de las Artes Marciales"
CE Penedès	"Atletismo,Correr,Jogging,Running en Vilafranca del Penedès."
CELACANTO escuela buceo Altea	"Centro de buceo ubicado en Altea con mas de 20 años de experiencia en el sector.
Realizamos cursos de buceo de todas las especialidades.
Salidas de buceo diarias en Altea y Benidorm.
Ofertas especiales con alojamiento.
Cursos de buceo en Madrid y Altea."
Centre Aeri Hidroclub	Paracaidismo en Vilanova i la Geltrú.
Centre Catòlic l’Hospitalet	Baloncesto en L'Hospitalet de Llobregat.
Centre de Budo Sant Jordi	"Aikido,Judo,Kendo en Barcelona."
Centre de Ioga Marina	"Som un Centre de Ioga a Premià de Mar, Vina a proba una classe gratuita i així ens coneixeràs 
El Ioga no és un mite antic enterrat en l’oblit. És el regal i l’herència més valuosa del present. És la necessitat d’avui i la cultura del demà.

El ioga és la veritable ciència de la vida, és per això que hauria d’estar incorporada a la vida diària. Treballa tots els aspectes de la persona: el físic, vital, mental, emocional, psíquic i espiritual.  ""Swami Satyananda Saraswati"""
Centre excursionista de Banyoles	"El Centre Excursionista de Banyoles es va fundar oficialment l'any 1953. Anteriorment, però, ja s'havia mostrat a Banyoles l'interès per l'excursionisme."
Centre Jing	"Somos una Escuela de Artes Marciales donde podrás practicar y aprender las siguientes disciplinas:
Kung-Fu, TaiChiChuan, Chikung, Defensa Personal...
¡Ven a probar una clase gratuita! "
Centro Dan Tian	"En nuestra escuela puedes practicar y estudiar disciplinas saludables desde un punto de vista tradicional. Ofrecemos clases de Tai Chi Chuan estilo Yang, Yoga, y Chi Kung. También realizamos otras actividades; como KunG Fu Infantil o Autodefensa para mujeres, y seminarios específicos.
"
CENTRO DE BUCEO ALAGUA	"Centro de Buceo Alagua es una asociación tradicional orientada al entrenamiento profesional y de ocio. Nos alegramos por el éxito de nuestros equipos, pero también nos dedicamos a los grupos de aficionados que se encuentran simplemente para disfrutar del tiempo libre.<br class="""">
No hacemos diferencias entre nuestros socios. Quien lo desee puede convertirse en miembro de la asociación. Nuestros entrenadores se adaptan sin problemas a cada equipo, están cualificados y le asesorarán con gusto acerca de nuestra oferta deportiva.<br class="""">
Siempre nos alegramos de recibir nuevos miembros interesados en participar en los acontecimientos de la asociación, organizar actividades o excursiones y que se sientan bien en la comunidad."
